Year,Country,Country Code,CO2 Emissions (kt) ,CO2 Emissions From Gaseous Fuel Consumption (kt) ,CO2 Emissions From Liquid Fuel Consumption (kt) ,CO2 Emissions From Solid Fuel Consumption (kt) ,GDP per Capita (current US$) ,Life Expectancy At Birth-Female (years) ,Life Expectancy At Birth-Male (years) ,Life Expectancy At Birth-Total (years) ,Methane Emissions (kt of CO2 equivalent) ,Nitrous Oxide Emissions (thousand metric tons of CO2 equivalent) ,Population-Female (% of total population) ,Population-Male (% of total population) ,Population-Total ,Total Greenhouse Gas Emissions (kt of CO2 equivalent) 
2015,MOROCCO,MAR,60410.00,2324.88,34106.77,16857.20,2875.26,76.963,74.43,75.73,11550.00,9090.00,50.46,49.54,34663608.00,81460.00
2015,RUSSIAN FEDERATION,RUS,1592560.06,834257.17,361679.88,453090.85,9313.01,76.71,65.92,71.18,610560.00,57100.00,53.67,46.33,144096870.00,2287290.04
2015,SENEGAL,SEN,9290.00,47.67,6864.62,1422.80,1219.25,68.634,64.68,66.75,10000.00,4860.00,51.37,48.63,14578450.00,25300.00
2015,UKRAINE,UKR,191070.01,59691.43,29490.01,102859.35,2124.66,76.25,66.37,71.19,33360.00,22360.00,53.74,46.26,45154036.00,247550.00
2015,UNITED KINGDOM,GBR,401079.99,141322.51,166162.77,90435.55,45404.57,82.8,79.20,80.96,50110.00,28360.00,50.71,49.29,65116219.00,496299.99
2015,UNITED STATES,USA,4990709.96,1484155.91,2132547.52,1452832.40,56762.73,81.2,76.30,78.69,670489.99,259910.00,50.54,49.46,320738994.00,6082160.16
2016,ARGENTINA,ARG,183160.00,102268.96,88792.74,3010.61,12790.24,79.583,72.77,76.22,123600.00,46450.00,51.26,48.74,43590368.00,373329.99
2016,AUSTRALIA,AUS,384989.99,79122.86,118909.81,172598.36,49881.76,84.6,80.40,82.45,118380.00,57330.00,50.19,49.81,24190907.00,574450.01
2016,BRAZIL,BRA,447079.99,66116.01,296990.33,67318.79,8710.06,78.934,71.58,75.23,432380.00,175480.00,50.79,49.21,206163056.00,1063569.95
2016,CANADA,CAN,556830.02,217027.73,252538.96,65862.99,42315.60,84,79.90,81.90,94450.00,40240.00,50.41,49.59,36109487.00,704750.00
2016,CHINA,CHN,9874660.16,403091.31,1336397.81,6951652.91,8094.36,78.574,74.06,76.21,1120069.95,552360.00,48.65,51.35,1387790000.00,11800830.08
2016,GERMANY,DEU,747150.02,161080.31,252344.61,298574.47,42136.12,83.5,78.60,80.99,51820.00,36070.00,50.77,49.23,82348669.00,846940.00
2016,INDIA,IND,2195250.00,95829.71,648956.32,1516605.19,1732.55,70.142,67.75,68.90,643010.01,251100.00,48.01,51.99,1324517250.00,3106340.09
2016,INDONESIA,IDN,482510.01,91260.63,211802.25,213852.11,3562.82,73.264,68.91,71.04,273530.00,88700.00,49.64,50.36,261556386.00,847580.02
2016,JAPAN,JPN,1167790.04,232916.84,442628.90,433780.43,39375.47,87.14,80.98,83.98,28550.00,18750.00,51.15,48.85,127076000.00,1261870.00
2016,MOROCCO,MAR,60320.00,2365.22,34682.49,16248.48,2896.72,77.202,74.69,75.97,11670.00,7830.00,50.43,49.57,35126274.00,80260.00
2016,RUSSIAN FEDERATION,RUS,1571520.02,850380.97,391342.24,441708.49,8704.90,77.06,66.50,71.65,626080.02,59570.00,53.67,46.33,144342397.00,2285750.00
2016,SENEGAL,SEN,10130.00,44.00,6831.62,1730.82,1269.90,68.999,64.97,67.08,10610.00,5370.00,51.35,48.65,14993514.00,27410.00
2016,UKRAINE,UKR,201660.00,58639.00,33109.34,106001.97,2187.73,76.46,66.73,71.48,33130.00,23830.00,53.72,46.28,45004673.00,259410.00
2016,UNITED KINGDOM,GBR,380810.00,158960.78,167816.59,45012.43,41499.56,83,79.40,81.16,51600.00,28100.00,50.68,49.32,65611593.00,476540.01
2016,UNITED STATES,USA,4894500.00,1498556.22,2127054.35,1323423.97,57866.74,81.1,76.10,78.54,652349.98,266430.00,50.53,49.47,323071755.00,5974200.20
